Time,Price,Volume
11/20/2006 0:00,12341,1720
11/20/2006 0:01,12342,1724
11/20/2006 0:02,12341,1729
11/20/2006 0:02,12343,1731
11/20/2006 0:03,12341,1732
11/20/2006 0:03,12342,1742
11/20/2006 0:03,12341,1743
11/20/2006 0:03,12339,1749
11/20/2006 0:03,12340,1749
11/20/2006 0:04,12343,1759
11/20/2006 0:04,12344,1760
11/20/2006 0:06,12341,1769
11/20/2006 0:06,12339,1770
11/20/2006 0:07,12338,1782
11/20/2006 0:07,12340,1782
11/20/2006 0:07,12339,1786
11/20/2006 0:07,12338,1787
11/20/2006 0:07,12337,1788
11/20/2006 0:07,12336,1805
11/20/2006 0:08,12337,1806
11/20/2006 0:08,12338,1821
11/20/2006 0:08,12337,1826
11/20/2006 0:09,12339,1836
11/20/2006 0:09,12338,1837
11/20/2006 0:10,12336,1844
11/20/2006 0:11,12335,1852
11/20/2006 0:12,12336,1914
11/20/2006 0:13,12335,1925
11/20/2006 0:14,12334,1979
11/20/2006 0:14,12335,1981
11/20/2006 0:15,12334,2014
11/20/2006 0:15,12335,2051
11/20/2006 0:16,12334,2052
11/20/2006 0:17,12335,2053
11/20/2006 0:17,12333,2055
11/20/2006 0:18,12337,2065
11/20/2006 0:18,12336,2069
11/20/2006 0:19,12337,2097
11/20/2006 0:19,12335,2097
11/20/2006 0:20,12334,2099
11/20/2006 0:22,12338,2100
11/20/2006 0:23,12340,2106
11/20/2006 0:24,12339,2109
11/20/2006 0:25,12342,2119
11/20/2006 0:26,12340,2120
11/20/2006 0:26,12336,2124
11/20/2006 0:28,12339,2130
11/20/2006 0:28,12338,2131
11/20/2006 0:28,12340,2132
11/20/2006 0:29,12339,2162
11/20/2006 0:31,12337,2163
11/20/2006 0:32,12341,2165
11/20/2006 0:32,12342,2166
11/20/2006 0:33,12341,2167
11/20/2006 0:37,12343,2169
11/20/2006 0:39,12342,2190
11/20/2006 0:39,12341,2191
11/20/2006 0:41,12342,2206
11/20/2006 0:44,12341,2208
11/20/2006 0:44,12343,2209
11/20/2006 0:45,12342,2210
11/20/2006 0:45,12341,2217
11/20/2006 0:48,12340,2226
11/20/2006 0:49,12339,2249
11/20/2006 0:50,12338,2250
11/20/2006 0:51,12337,2253
11/20/2006 0:54,12339,2255
11/20/2006 0:54,12335,2259
11/20/2006 0:54,12337,2261
11/20/2006 0:55,12338,2300
11/20/2006 0:55,12339,2301
11/20/2006 0:55,12340,2303
11/20/2006 0:57,12339,2309
11/20/2006 0:57,12338,2315
11/20/2006 0:57,12339,2317
11/20/2006 0:58,12340,2318
11/20/2006 0:59,12341,2319
11/20/2006 0:59,12342,2321
11/20/2006 1:00,12341,2346
11/20/2006 1:01,12342,2347
11/20/2006 1:01,12339,2375
11/20/2006 1:01,12341,2376
11/20/2006 1:02,12342,2396
11/20/2006 1:02,12340,2398
11/20/2006 1:02,12339,2403
11/20/2006 1:03,12338,2405
11/20/2006 1:04,12340,2415
11/20/2006 1:04,12339,2417
11/20/2006 1:04,12338,2418
11/20/2006 1:04,12337,2423
11/20/2006 1:05,12336,2425
11/20/2006 1:06,12338,2435
11/20/2006 1:06,12337,2437
11/20/2006 1:06,12336,2454
11/20/2006 1:09,12337,2462
11/20/2006 1:09,12334,2463
11/20/2006 1:10,12336,2474
11/20/2006 1:10,12337,2484
11/20/2006 1:10,12338,2485
11/20/2006 1:13,12340,2502
11/20/2006 1:14,12338,2506
11/20/2006 1:15,12339,2510
11/20/2006 1:16,12337,2512
11/20/2006 1:23,12338,2514
11/20/2006 1:25,12336,2517
11/20/2006 1:25,12335,2536
11/20/2006 1:26,12334,2548
11/20/2006 1:27,12335,2549
11/20/2006 1:27,12333,2550
11/20/2006 1:28,12334,2567
11/20/2006 1:28,12333,2568
11/20/2006 1:28,12332,2593
11/20/2006 1:28,12335,2594
11/20/2006 1:30,12334,2606
11/20/2006 1:30,12333,2619
11/20/2006 1:31,12332,2630
11/20/2006 1:31,12333,2650
11/20/2006 1:32,12332,2656
11/20/2006 1:33,12334,2657
11/20/2006 1:34,12333,2660
11/20/2006 1:35,12335,2676
11/20/2006 1:35,12336,2680
11/20/2006 1:36,12337,2692
11/20/2006 1:36,12338,2693
11/20/2006 1:36,12337,2718
11/20/2006 1:38,12336,2732
11/20/2006 1:39,12335,2733
11/20/2006 1:40,12336,2741
11/20/2006 1:42,12334,2740
